time,x,y,z
10098,97,-57,-825
10108,103,-61,-829
10117,101,-55,-825
10127,93,-55,-827
10137,97,-59,-827
10147,97,-59,-825
10157,106,-66,-826
10167,100,-62,-822
10177,104,-54,-834
10186,98,-58,-826
10196,102,-62,-824
10206,100,-60,-818
10216,104,-64,-818
10226,95,-63,-817
10236,96,-62,-830
10245,99,-61,-827
10255,104,-62,-820
10265,104,-60,-824
10275,98,-58,-816
10285,99,-57,-835
10295,102,-62,-826
10305,100,-54,-824
10314,96,-56,-818
10324,96,-54,-816
10334,101,-65,-823
10344,97,-57,-827
10354,100,-60,-828
10364,103,-61,-829
10373,105,-67,-817
10383,98,-60,-824
10393,95,-55,-825
10403,100,-58,-824
10413,101,-53,-821
10423,87,-61,-819
10433,98,-64,-828
10442,101,-59,-823
10452,99,-57,-829
10462,98,-60,-826
10472,98,-58,-818
10482,95,-59,-821
10492,97,-59,-825
10501,104,-54,-824
10511,103,-65,-819
10521,96,-66,-818
10531,98,-60,-822
10541,101,-61,-819
10551,99,-61,-823
10561,104,-60,-826
10571,103,-57,-825
10580,100,-64,-826
10590,99,-57,-821
10600,97,-59,-819
10610,96,-62,-828
10620,104,-64,-826
10630,95,-57,-823
10640,104,-60,-824
10650,94,-64,-826
10659,103,-63,-819
10669,97,-57,-819
10679,102,-64,-822
10689,100,-62,-818
10699,105,-53,-827
10709,98,-60,-822
10719,94,-66,-818
10729,95,-59,-819
10738,91,-57,-819
10748,98,-58,-816
10758,106,-58,-828
10768,98,-56,-826
10778,100,-62,-820
10788,100,-62,-822
10797,92,-56,-826
10807,98,-60,-822
10817,99,-59,-825
10827,103,-57,-823
10837,93,-69,-821
10847,99,-61,-821
10857,100,-58,-822
10866,95,-49,-825
10876,100,-66,-818
10886,94,-52,-824
10896,95,-55,-823
10906,95,-55,-825
10916,100,-60,-826
10925,103,-57,-829
10935,99,-61,-817
10945,97,-59,-821
10955,99,-61,-819
10965,102,-56,-820
10975,95,-61,-829
10985,101,-59,-821
10995,98,-62,-814
11004,95,-59,-821
11014,101,-59,-825
11024,102,-54,-828
11034,93,-61,-823
11044,96,-58,-828
11054,99,-67,-833
11063,103,-61,-821
11073,100,-64,-824
11083,103,-63,-825
11093,99,-57,-819
11103,99,-57,-823
11113,103,-61,-827
11122,97,-65,-817
11132,104,-56,-828
11142,97,-65,-819
11152,94,-60,-822
11162,96,-56,-822
11172,100,-60,-826
11182,102,-54,-824
11191,103,-59,-821
11201,94,-60,-822
11211,95,-57,-827
11221,107,-61,-825
11231,98,-64,-814
11241,96,-60,-826
11251,101,-63,-823
11260,104,-58,-832
11270,103,-57,-819
11280,95,-57,-821
11290,97,-59,-829
11300,99,-63,-825
11310,106,-56,-830
11320,100,-60,-820
11329,103,-59,-821
11339,101,-63,-821
11349,103,-63,-827
11359,102,-60,-818
11369,99,-61,-825
11379,98,-60,-824
11389,92,-58,-820
11398,99,-53,-827
11408,96,-64,-828
11418,98,-56,-824
11428,101,-65,-827
11438,89,-55,-827
11448,100,-60,-826
11458,93,-63,-821
11467,94,-56,-830
11477,102,-60,-824
11487,102,-58,-828
11497,98,-56,-818
11507,96,-62,-820
11517,99,-55,-825
11527,99,-59,-823
11537,103,-55,-825
11546,100,-56,-820
11556,100,-62,-824
11566,101,-57,-821
11576,108,-56,-820
11586,88,-62,-826
11596,102,-60,-824
11606,98,-64,-816
11615,102,-62,-826
11625,100,-58,-824
11635,94,-66,-828
11645,101,-65,-827
11655,92,-58,-830
11665,101,-59,-835
11675,98,-64,-822
11684,97,-57,-825
11694,101,-59,-819
11704,100,-64,-818
11714,98,-58,-826
11724,102,-52,-824
11734,105,-67,-825
11744,94,-60,-824
11753,95,-63,-821
11763,98,-56,-826
11773,100,-60,-820
11783,98,-56,-822
11793,95,-57,-823
11803,102,-54,-820
11813,94,-60,-826
11823,105,-59,-823
11832,100,-58,-826
11842,96,-62,-830
11852,100,-66,-822
11862,105,-53,-827
11872,99,-57,-823
11882,104,-62,-822
11892,98,-58,-824
11902,105,-53,-815
11911,107,-61,-815
11921,99,-61,-829
11931,101,-53,-827
11941,96,-58,-828
11951,97,-55,-825
11961,98,-52,-818
11970,98,-66,-824
11980,100,-56,-824
11990,92,-64,-822
12000,102,-64,-820
12010,101,-53,-829
12020,96,-58,-818
12030,105,-63,-817
12039,102,-58,-820
12049,100,-60,-828
12059,101,-55,-817
12069,101,-61,-825
12079,94,-54,-824
12089,101,-57,-817
12098,107,-59,-825
12108,108,-64,-826
12118,102,-58,-820
12128,97,-61,-825
12138,102,-58,-818
12148,98,-60,-828
12158,106,-62,-824
12167,90,-58,-826
12177,96,-58,-822
12187,101,-51,-821
12197,100,-58,-830
12207,101,-61,-821
12217,97,-57,-819
12226,98,-52,-830
12236,96,-58,-824
12246,99,-55,-821
12256,104,-68,-824
12266,97,-53,-831
12276,101,-51,-829
12286,97,-63,-825
12295,103,-59,-817
12305,100,-60,-826
12315,104,-68,-822
12325,100,-60,-826
12335,100,-58,-828
12345,95,-63,-821
12355,101,-55,-825
12365,100,-70,-824
12374,97,-61,-823
12384,95,-61,-825
12394,102,-62,-828
12404,98,-56,-824
12414,99,-61,-821
12424,100,-58,-820
12434,98,-54,-826
12443,102,-60,-824
12453,100,-58,-820
12463,104,-60,-822
12473,97,-65,-827
